x1,x2,y1
0.0024936831104231984,0.9942431413792647,0.021843698323874533
0.005763137047795089,0.9936427251122261,0.010105054132558754
0.002051951993560434,0.9995381458535395,0.012721734196340794
0.0009958385818203401,1,0.007096128100454392
0.00044936494180255473,1,0.006513201199413711
0,1,0.006635326065358785
0.0017607109934211285,0.9884384395320996,0.003497317456189466
0.011300952555653096,0.9835191703463004,0.005802376803238952
0.005037931892925931,0.9947742639640466,0.008445425243379935
0,1,0.008890587125430746
